,words,count,freq,Freq
5,Vascular abnormality (DR):no,2995,0.06535591149129315,2995 (6.5%)
4,HypoF_ExtraFovea:no,2692,0.05874394448566316,2692 (5.9%)
6,HypoF_Fovea:no,2543,0.05549251516606293,2543 (5.5%)
9,Pattern:no,2505,0.054663291581198446,2505 (5.5%)
1,HypoF_Y:no,2289,0.04994981015144241,2289 (5.0%)
10,HypoF_Type:no,2287,0.049906166804870596,2287 (5.0%)
11,HypoF_Area(DA):no,2284,0.049840701785012875,2284 (5.0%)
2,HyperF_Y:subretinal,2092,0.045650940514118624,2092 (4.6%)
12,CNV:no,2086,0.045520010474403176,2086 (4.6%)
7,HyperF_Area(DA):4,1946,0.042464976214376116,1946 (4.2%)
34,HyperF_ExtraFovea:no,1834,0.04002094880635447,1834 (4.0%)
24,HyperF_Fovea:no,1627,0.0355038624361716,1627 (3.6%)
0,HyperF_Fovea:yes,1552,0.03386723693972854,1552 (3.4%)
19,HyperF_Type:leakage,1255,0.02738619997381399,1255 (2.7%)
17,CNV:yes,1093,0.023851088901496967,1093 (2.4%)
15,macular neovascularization,1077,0.023501942128922447,1077 (2.4%)
32,HyperF_Y:no,775,0.016911796796578362,775 (1.7%)
33,HyperF_Type:no,775,0.016911796796578362,775 (1.7%)
30,HyperF_Area(DA):no,775,0.016911796796578362,775 (1.7%)
20,HypoF_Type:blockage,772,0.01684633177672064,772 (1.7%)
31,unremarkable changes,720,0.015711604765853447,720 (1.6%)
14,HypoF_Y:subretinal,714,0.015580674726138,714 (1.6%)
16,HypoF_Area(DA):4,656,0.014315017675555361,656 (1.4%)
21,HypoF_Fovea:yes,636,0.01387858420983721,636 (1.4%)
8,HyperF_Type:staining,632,0.01379129751669358,632 (1.4%)
46,HyperF_Area(DA):5,458,0.009994326364945664,458 (1.0%)
27,polyp,440,0.009601536245799328,440 (1.0%)
26,Pattern:pcv,436,0.009514249552655698,436 (1.0%)
3,dry age-related macular degeneration,339,0.007397547243922664,339 (0.7%)
42,HyperF_Type:pooling,312,0.00680836206520316,312 (0.7%)
49,HyperF_Y:intraretinal,300,0.006546501985772269,300 (0.7%)
35,central serous chorioretinopathy,299,0.006524680312486361,299 (0.7%)
50,HypoF_Area(DA):5,239,0.0052153799153319075,239 (0.5%)
36,HyperF_ExtraFovea:superior,238,0.0051935582420460005,238 (0.5%)
60,HyperF_ExtraFovea:diffuse,214,0.004669838083184218,214 (0.5%)
56,HyperF_Type:window defect,205,0.00447344302361105,205 (0.4%)
59,uveitis,153,0.003338716012743857,153 (0.3%)
41,chorioretinal scar,151,0.003295072666172042,151 (0.3%)
23,HyperF_ExtraFovea:nasal,145,0.0031641426264565967,145 (0.3%)
25,HyperF_ExtraFovea:superior nasal,143,0.0031204992798847817,143 (0.3%)
13,HyperF_ExtraFovea:temporal,142,0.003098677606598874,142 (0.3%)
66,HypoF_Y:intraretinal,136,0.002967747566883429,136 (0.3%)
45,HyperF_ExtraFovea:superior temporal,133,0.002902282547025706,133 (0.3%)
64,Vascular abnormality (DR):microaneurysm,123,0.00268406581416663,123 (0.3%)
78,inferior,122,0.0026622441408807227,122 (0.3%)
61,HypoF_Type:capillary non-perfusion,120,0.0026186007943089077,120 (0.3%)
75,HypoF_ExtraFovea:diffuse,115,0.00250949242787937,115 (0.3%)
28,HyperF_ExtraFovea:inferior,106,0.0023130973683062016,106 (0.2%)
80,diabetic retinopathy,106,0.0023130973683062016,106 (0.2%)
37,Pattern:ink blot,99,0.0021603456553048487,99 (0.2%)
38,temporal,98,0.0021385239820189412,98 (0.2%)
44,retinal pigment epithelial detachment,93,0.0020294156155894034,93 (0.2%)
